id,icon,care_instruction_name,is_showing,created_at,updated_at
1,637b015663d8d.jpeg,Do Not Iron,1,2022-10-30 11:18:09,2022-11-21 04:40:54
2,637b01729756c.jpeg,Iron Low Temp,1,2022-10-30 11:18:21,2022-11-21 04:41:22
3,637b0185796d0.jpeg,Iron Medium Temp,1,2022-10-30 11:18:45,2022-11-21 04:41:41
4,637b019751222.jpeg,Iron High Temp,1,2022-10-30 11:19:02,2022-11-21 04:41:59
5,637b01b38d4d7.jpeg,Do Not Dry Clean,1,2022-11-21 04:42:27,2022-11-21 04:42:27
6,637b01c4ecebc.jpeg,Do Not Tumble Dry,1,2022-11-21 04:42:44,2022-11-21 04:44:14
7,637b01d2e46b3.jpeg,Dry Clean,1,2022-11-21 04:42:58,2022-11-21 04:42:58
8,637b01e895944.jpeg,Tumble Dry low Temp,1,2022-11-21 04:43:20,2022-11-21 04:43:20
9,637b01f99b2b7.jpeg,Tumble Dry Medium Temp,1,2022-11-21 04:43:37,2022-11-21 04:43:37
10,637b020a35e37.jpeg,Tumble Dry High Temp,1,2022-11-21 04:43:54,2022-11-21 04:43:54
11,637b023b5afb1.jpeg,Do Not Bleach,1,2022-11-21 04:44:43,2022-11-21 04:44:43
12,637b024fae590.jpeg,Line Dry,1,2022-11-21 04:45:03,2022-11-21 04:45:03
13,637b026673c41.jpeg,Hand Wash Normal,1,2022-11-21 04:45:26,2022-11-21 04:45:26
14,637b027a3f468.jpeg,Do Not wash,1,2022-11-21 04:45:46,2022-11-21 04:45:46
15,637b0292bef9d.jpeg,Machine Wash Normal,1,2022-11-21 04:46:10,2022-11-21 04:46:10
16,637b02a53b3b0.jpeg,Machine wash Delicate,1,2022-11-21 04:46:29,2022-11-21 04:46:29
17,637b02c0146bc.jpeg,Wash at or Below 30C,1,2022-11-21 04:46:56,2022-11-21 04:46:56
18,637b02d008887.jpeg,Wash at or Below 40C,1,2022-11-21 04:47:12,2022-11-21 04:47:12
19,637b02df9614d.jpeg,Wash at or Below 50C,1,2022-11-21 04:47:27,2022-11-21 04:47:27
20,,Lay Flat to Dry,1,2023-01-06 10:26:20,2023-01-06 10:26:20
