id,company_id,machine_type,number_of_machines
3,465,Single needle,60
4,465,Flatlock,10
5,468,Swing,100
6,468,Embroidery,3
20,539,Dtf transfer,1
21,539,OCTOPUS PRINTING MACHINE,1
22,539,CONVERT PRINTING PRESS,1
23,539,FLAT SEWING MACHINE,6
24,539,FLAT DOUBLE SEWING MACHINE,4
25,539,OVERLOK SEWING MACHINE,8
26,539,FABRIC CUTTING MACHINE,2
27,539,CHAIN SEWING MACHINE,1
28,553,SINGLE NEEDLE,65
29,553,OVERLOCK,12
30,553,FLATLOCK,6
31,553,KANSAI SPECIAL,2
32,553,FEED OF THE ARM,3
33,553,DOUBLE NEEDLE,4
34,553,CHAIN STITCH,8
35,557,handloom,52
36,557,powerlooms,120
