id,item,inquiry_id,number_of_pieces,amount,cost,created_at,updated_at
1,test,817,,,,2022-12-12 16:01:59,2022-12-12 16:01:59
5,Inspection,640,1,0.25,0.25,2023-01-18 13:20:12,2023-01-18 13:20:12
6,Testing,640,1,0.5,0.5,2023-01-18 13:20:12,2023-01-18 13:20:12
7,Transportation,640,,,,2023-01-18 13:20:12,2023-01-18 13:20:12
9,Inspection,693,1,0.25,0.25,2023-01-23 15:18:32,2023-01-23 15:18:32
10,Inspection,843,1,0.5,0.5,2023-01-23 15:31:34,2023-01-23 15:31:34
11,Inspection,844,1,0.5,0.5,2023-01-23 15:33:19,2023-01-23 15:33:19
12,Testing/Inspection,737,1,1.0,1.0,2023-01-24 15:16:25,2023-01-24 15:16:25
13,Testing/Inspection,756,1,1.0,1.0,2023-01-24 15:22:31,2023-01-24 15:22:31
14,Testing/Inspection,755,1,1.0,1.0,2023-01-24 15:28:42,2023-01-24 15:28:42
15,Testing/Inspection,754,1,1.0,1.0,2023-01-24 15:31:42,2023-01-24 15:31:42
16,Testing/Inspection,753,1,1.0,1.0,2023-01-24 15:33:56,2023-01-24 15:33:56
17,Inspection,805,1,0.75,0.75,2023-01-24 17:09:50,2023-01-24 17:09:50
18,IT Cost,805,1,0.5,0.5,2023-01-24 17:09:50,2023-01-24 17:09:50
19,Fabric Air freight cost,805,1,0.6,0.6,2023-01-24 17:09:50,2023-01-24 17:09:50
20,Inspection,807,1,0.75,0.75,2023-01-25 04:07:16,2023-01-25 04:07:16
21,IT cost,807,1,0.5,0.5,2023-01-25 04:07:16,2023-01-25 04:07:16
22,Fabric Air freight cost,807,1,0.6,0.6,2023-01-25 04:07:16,2023-01-25 04:07:16
23,Inspection,808,1,0.75,0.75,2023-01-25 08:14:08,2023-01-25 08:14:08
24,IT Cost,808,1,0.5,0.5,2023-01-25 08:14:08,2023-01-25 08:14:08
25,Fabric Air freight cost,808,1,0.6,0.6,2023-01-25 08:14:08,2023-01-25 08:14:08
26,Inspection,809,1,0.75,0.75,2023-01-25 08:16:55,2023-01-25 08:16:55
27,IT Cost,809,1,0.5,0.5,2023-01-25 08:16:55,2023-01-25 08:16:55
28,Fabric Air freight cost,809,1,0.6,0.6,2023-01-25 08:16:55,2023-01-25 08:16:55
29,Inspection,810,1,0.75,0.75,2023-01-25 08:19:38,2023-01-25 08:19:38
30,IT Cost,810,1,0.5,0.5,2023-01-25 08:19:38,2023-01-25 08:19:38
31,Fabric Air freight cost,810,1,0.6,0.6,2023-01-25 08:19:38,2023-01-25 08:19:38
32,Inspection,818,1,0.75,0.75,2023-01-25 08:21:58,2023-01-25 08:21:58
33,IT Cost,818,1,0.5,0.5,2023-01-25 08:21:58,2023-01-25 08:21:58
34,Fabric Air freight cost,818,1,0.6,0.6,2023-01-25 08:21:58,2023-01-25 08:21:58
35,Inspection,828,1,0.75,0.75,2023-01-25 08:39:29,2023-01-25 08:39:29
36,IT Cost,828,1,0.5,0.5,2023-01-25 08:39:29,2023-01-25 08:39:29
37,Fabric Air freight cost,828,1,0.6,0.6,2023-01-25 08:39:29,2023-01-25 08:39:29
38,Inspection,829,1,0.75,0.75,2023-01-25 08:47:36,2023-01-25 08:47:36
39,IT Cost,829,1,0.5,0.5,2023-01-25 08:47:36,2023-01-25 08:47:36
40,Fabric Air freight cost,829,1,0.6,0.6,2023-01-25 08:47:36,2023-01-25 08:47:36
