id,data_type_id,field,type,display_name,required,browse,read,edit,add,delete,details,order
1,1,id,number,ID,1,0,0,0,0,0,,1
2,1,name,text,Name,1,1,1,1,1,1,,2
3,1,email,text,Email,1,1,1,1,1,1,,3
4,1,password,password,Password,1,0,0,1,1,0,,4
5,1,remember_token,text,Remember Token,0,0,0,0,0,0,,5
6,1,created_at,timestamp,Created At,0,1,1,0,0,0,,6
7,1,updated_at,timestamp,Updated At,0,0,0,0,0,0,,7
8,1,avatar,image,Avatar,0,1,1,1,1,1,,8
9,1,user_belongsto_role_relationship,relationship,Role,0,1,1,1,1,0,"{""model"":""TCG\\Voyager\\Models\\Role"",""table"":""roles"",""type"":""belongsTo"",""column"":""role_id"",""key"":""id"",""label"":""display_name"",""pivot_table"":""roles"",""pivot"":0}",10
10,1,user_belongstomany_role_relationship,relationship,Roles,0,1,1,1,1,0,"{""model"":""TCG\\Voyager\\Models\\Role"",""table"":""roles"",""type"":""belongsToMany"",""column"":""id"",""key"":""id"",""label"":""display_name"",""pivot_table"":""user_roles"",""pivot"":""1"",""taggable"":""0""}",11
11,1,settings,hidden,Settings,0,0,0,0,0,0,,12
12,2,id,number,ID,1,0,0,0,0,0,,1
13,2,name,text,Name,1,1,1,1,1,1,,2
14,2,created_at,timestamp,Created At,0,0,0,0,0,0,,3
15,2,updated_at,timestamp,Updated At,0,0,0,0,0,0,,4
16,3,id,number,ID,1,0,0,0,0,0,,1
17,3,name,text,Name,1,1,1,1,1,1,,2
18,3,created_at,timestamp,Created At,0,0,0,0,0,0,,3
19,3,updated_at,timestamp,Updated At,0,0,0,0,0,0,,4
20,3,display_name,text,Display Name,1,1,1,1,1,1,,5
21,1,role_id,text,Role,1,1,1,1,1,1,,9
22,4,id,number,ID,1,0,0,0,0,0,,1
23,4,parent_id,select_dropdown,Parent,0,0,1,1,1,1,"{""default"":"""",""null"":"""",""options"":{"""":""-- None --""},""relationship"":{""key"":""id"",""label"":""name""}}",2
24,4,order,text,Order,1,1,1,1,1,1,"{""default"":1}",3
25,4,name,text,Name,1,1,1,1,1,1,,4
26,4,slug,text,Slug,1,1,1,1,1,1,"{""slugify"":{""origin"":""name""}}",5
27,4,created_at,timestamp,Created At,0,0,1,0,0,0,,6
28,4,updated_at,timestamp,Updated At,0,0,0,0,0,0,,7
29,5,id,number,ID,1,0,0,0,0,0,,1
30,5,author_id,text,Author,1,0,1,1,0,1,,2
31,5,category_id,text,Category,1,0,1,1,1,0,,3
32,5,title,text,Title,1,1,1,1,1,1,,4
33,5,excerpt,text_area,Excerpt,1,0,1,1,1,1,,5
34,5,body,rich_text_box,Body,1,0,1,1,1,1,,6
35,5,image,image,Post Image,0,1,1,1,1,1,"{""resize"":{""width"":""1000"",""height"":""null""},""quality"":""70%"",""upsize"":true,""thumbnails"":[{""name"":""medium"",""scale"":""50%""},{""name"":""small"",""scale"":""25%""},{""name"":""cropped"",""crop"":{""width"":""300"",""height"":""250""}}]}",7
36,5,slug,text,Slug,1,0,1,1,1,1,"{""slugify"":{""origin"":""title"",""forceUpdate"":true},""validation"":{""rule"":""unique:posts,slug""}}",8
37,5,meta_description,text_area,Meta Description,1,0,1,1,1,1,,9
38,5,meta_keywords,text_area,Meta Keywords,1,0,1,1,1,1,,10
39,5,status,select_dropdown,Status,1,1,1,1,1,1,"{""default"":""DRAFT"",""options"":{""PUBLISHED"":""published"",""DRAFT"":""draft"",""PENDING"":""pending""}}",11
40,5,created_at,timestamp,Created At,0,1,1,0,0,0,,12
41,5,updated_at,timestamp,Updated At,0,0,0,0,0,0,,13
42,5,seo_title,text,SEO Title,0,1,1,1,1,1,,14
43,5,featured,checkbox,Featured,1,1,1,1,1,1,,15
44,6,id,number,ID,1,0,0,0,0,0,,1
45,6,author_id,text,Author,1,0,0,0,0,0,,2
46,6,title,text,Title,1,1,1,1,1,1,,3
47,6,excerpt,text_area,Excerpt,1,0,1,1,1,1,,4
48,6,body,rich_text_box,Body,1,0,1,1,1,1,,5
49,6,slug,text,Slug,1,0,1,1,1,1,"{""slugify"":{""origin"":""title""},""validation"":{""rule"":""unique:pages,slug""}}",6
50,6,meta_description,text,Meta Description,1,0,1,1,1,1,,7
51,6,meta_keywords,text,Meta Keywords,1,0,1,1,1,1,,8
52,6,status,select_dropdown,Status,1,1,1,1,1,1,"{""default"":""INACTIVE"",""options"":{""INACTIVE"":""INACTIVE"",""ACTIVE"":""ACTIVE""}}",9
53,6,created_at,timestamp,Created At,1,1,1,0,0,0,,10
54,6,updated_at,timestamp,Updated At,1,0,0,0,0,0,,11
55,6,image,image,Page Image,0,1,1,1,1,1,,12
