id,created_by,style_number,order_number,product_type,bulk_order_quantity,colour_number,materials,currency,additional_information,deleted_at,created_at,updated_at,categories,account_manager_id,company_id,default_image,status,public_status,package,product_name_consumer,product_name_non_consumer,need_trace_approval,trace_rejected_comment,trace_tracking_code,style_name
17,117,210528001LAA,1,24,1,1,4,GBP,,,2019-11-03 08:06:29,2022-06-03 16:21:12,6,402,12,,inactive,1,2,,,,,,
18,117,210528002LAA,2,24,1,2,4,GBP,,,2019-11-03 08:07:04,2022-06-03 16:19:31,6,402,12,,inactive,1,2,,,,,,
19,117,210528003LAA,3,24,1,2,4,GBP,,,2019-11-03 08:07:27,2022-06-03 16:22:43,6,402,12,,inactive,1,2,,,,,,
20,117,210528004LAA,4,24,3,3,4,GBP,,,2019-11-03 08:08:05,2022-06-03 16:17:43,6,402,12,,inactive,1,2,,,,,,
21,117,210528005LAA,5,24,1,1,4,GBP,,,2019-11-03 08:08:25,2022-06-03 16:16:46,6,402,12,,inactive,1,2,,,,,,
22,117,210528006LAA,6,24,1,1,2,GBP,,,2019-11-03 08:10:23,2022-06-03 16:15:44,6,402,12,,inactive,1,2,,,,,,
32,226,210528001KAA,1,23,50,1,2,USD,,,2020-03-02 15:40:23,2022-05-23 03:59:18,6,402,22,,inactive,1,2,,,,,,
33,226,210528002KAA,2,23,50,1,2,USD,,,2020-03-02 15:41:30,2022-05-23 03:58:58,6,402,22,,inactive,1,2,,,,,,
34,226,210528003KAA,3,3,40,1,4,USD,,,2020-03-02 15:42:34,2022-05-23 04:02:19,6,402,22,,inactive,1,2,,,,,,
35,226,210528004KAA,4,3,40,1,4,USD,,,2020-03-02 15:43:18,2022-05-23 03:57:59,6,402,22,,inactive,1,2,,,,,,
36,226,210528005KAA,5,3,40,1,4,USD,,,2020-03-02 15:44:11,2022-05-23 03:57:35,6,402,22,,inactive,1,2,,,,,,
37,226,210528006KAA,6,3,40,1,4,USD,,,2020-03-02 15:45:05,2022-05-23 03:57:05,6,402,22,,inactive,1,2,,,,,,
38,226,210528007KAA,7,3,40,1,4,USD,,,2020-03-02 15:45:49,2022-05-23 03:56:08,6,402,22,,inactive,1,2,,,,,,
39,226,210528008KAA,8,3,50,1,4,USD,,,2020-03-02 15:48:09,2022-05-23 03:55:26,6,402,22,,inactive,1,2,,,,,,
40,233,210528001MIA,1,3,10,2,1,GBP,,,2020-03-03 10:04:17,2022-06-03 16:14:54,6,402,24,,inactive,1,2,,,,,,
47,239,210528001FAA,1,3,50,1,1,EUR,,,2020-04-03 15:05:19,2022-06-03 16:13:21,6,402,27,,inactive,1,2,,,,,,
49,247,210528001DEA,1,3,200,4,4,USD,,,2020-04-23 07:55:53,2022-06-03 16:12:15,6,402,29,,inactive,1,2,,,,,,
50,248,210528001FAB,1,1,200,3,1,USD,i would like to find manufactures with sustainability certifications. ,,2020-04-26 16:55:29,2022-06-03 16:11:25,6,402,30,,inactive,1,2,,,,,,
