id,inquiry_sub_service_id,sub_service_id,parent_service,status,order_number,inquiry_id,time_period,deadline,sub_service_order
1,21897,1,1,2,1,784,0,2022-08-16,1
76,6334,2,1,2,1,17,0,2019-11-05,1
77,6366,2,1,2,1,18,0,2019-11-05,1
78,6398,2,1,2,1,19,0,2019-11-05,1
79,6430,2,1,2,1,20,0,2019-11-05,1
80,6462,2,1,2,1,21,0,2019-11-05,1
81,6494,2,1,2,1,22,0,2019-11-05,1
82,6526,2,1,2,1,32,0,2020-03-04,1
83,6558,2,1,2,1,33,0,2020-03-04,1
84,6590,2,1,2,1,34,0,2020-03-04,1
85,6622,2,1,2,1,35,0,2020-03-04,1
86,6654,2,1,2,1,36,0,2020-03-04,1
87,6686,2,1,2,1,37,0,2020-03-04,1
88,6718,2,1,2,1,38,0,2020-03-04,1
89,6750,2,1,2,1,39,0,2020-03-04,1
90,6782,2,1,2,1,40,0,2020-03-05,1
91,6814,2,1,2,1,47,0,2020-04-07,1
92,6846,2,1,2,1,49,0,2020-04-27,1
93,6878,2,1,2,1,50,0,2020-04-28,1
94,6910,2,1,2,1,51,0,2020-04-28,1
95,6942,2,1,2,1,52,0,2020-04-29,1
96,6974,2,1,2,1,54,0,2020-05-04,1
97,7006,2,1,2,1,55,0,2020-05-04,1
98,7038,2,1,2,1,60,0,2020-05-22,1
99,7070,2,1,2,1,61,0,2020-06-04,1
100,7102,2,1,2,1,62,0,2020-06-04,1
101,7134,2,1,2,1,63,0,2020-06-08,1
102,7166,2,1,2,1,87,0,2020-06-19,1
103,7198,2,1,2,1,89,0,2020-06-22,1
104,7230,2,1,2,1,91,0,2020-06-25,1
105,7262,2,1,2,1,92,0,2020-06-25,1
106,7294,2,1,2,1,93,0,2020-06-25,1
107,7326,2,1,2,1,94,0,2020-06-25,1
108,7358,2,1,2,1,95,0,2020-06-25,1
109,7390,2,1,2,1,96,0,2020-06-25,1
110,7422,2,1,2,1,97,0,2020-06-25,1
111,7454,2,1,2,1,100,0,2020-06-26,1
112,7486,2,1,2,1,101,0,2020-07-01,1
113,7518,2,1,2,1,102,0,2020-07-01,1
114,7550,2,1,2,1,103,0,2020-07-01,1
115,7582,2,1,2,1,104,0,2020-07-02,1
116,7614,2,1,2,1,105,0,2020-07-02,1
117,7646,2,1,2,1,107,0,2020-07-03,1
