id,inquiry_id,service_id,deadline,created_at,updated_at,order_number,is_completed
84,463,2,2021-07-12,2021-06-10 20:51:01,2021-11-08 01:19:18,1,0
85,464,2,2021-07-12,2021-06-10 20:52:01,2021-11-08 01:19:18,1,0
98,467,4,2021-06-24,2021-06-24 22:54:38,2021-11-08 01:19:15,1,0
99,467,5,2021-06-24,2021-06-24 22:54:38,2021-11-08 01:19:15,2,0
118,473,1,2021-06-29,2021-06-29 17:17:13,2021-11-08 01:19:15,1,0
119,473,2,2021-06-29,2021-06-29 17:17:13,2021-11-08 01:19:15,2,0
121,473,4,2021-06-29,2021-06-29 17:17:13,2021-11-08 01:19:15,3,0
122,473,5,2021-06-29,2021-06-29 17:17:13,2021-11-08 01:19:15,4,0
123,473,6,2021-06-29,2021-06-29 17:17:13,2021-11-08 01:19:15,5,0
124,474,1,2021-06-29,2021-06-29 17:20:51,2021-11-08 01:19:15,1,0
125,474,2,2021-06-29,2021-06-29 17:20:51,2021-11-08 01:19:15,2,0
127,474,4,2021-06-29,2021-06-29 17:20:51,2021-11-08 01:19:15,3,0
128,474,5,2021-06-29,2021-06-29 17:20:51,2021-11-08 01:19:15,4,0
129,474,6,2021-06-29,2021-06-29 17:20:51,2021-11-08 01:19:15,5,0
135,477,1,2021-06-30,2021-06-30 12:49:18,2021-11-08 01:19:15,1,0
136,477,2,2021-06-30,2021-06-30 12:49:18,2021-11-08 01:19:15,2,0
138,477,4,2021-06-30,2021-06-30 12:49:18,2021-11-08 01:19:15,3,0
139,477,5,2021-06-30,2021-06-30 12:49:18,2021-11-08 01:19:15,4,0
140,477,6,2021-06-30,2021-06-30 12:49:18,2021-11-08 01:19:15,5,0
141,483,1,2021-06-30,2021-06-30 14:06:49,2021-11-08 01:19:15,1,0
142,483,2,2021-06-30,2021-06-30 14:06:49,2021-11-08 01:19:15,2,0
144,483,4,2021-06-30,2021-06-30 14:06:49,2021-11-08 01:19:15,3,0
145,483,5,2021-06-30,2021-06-30 14:06:49,2021-11-08 01:19:15,4,0
146,483,6,2021-06-30,2021-06-30 14:06:49,2021-11-08 01:19:15,5,0
153,492,1,2021-07-04,2021-07-04 13:13:04,2021-11-08 01:19:15,1,0
154,492,2,2021-07-04,2021-07-04 13:13:04,2021-11-08 01:19:15,2,0
156,492,4,2021-07-04,2021-07-04 13:13:04,2021-11-08 01:19:15,3,0
157,492,5,2021-07-04,2021-07-04 13:13:04,2021-11-08 01:19:15,4,0
158,492,6,2021-07-04,2021-07-04 13:13:04,2021-11-08 01:19:15,5,0
159,493,1,2021-07-04,2021-07-04 13:21:07,2021-11-08 01:19:15,1,0
219,511,2,2021-07-19,2021-07-19 17:23:35,2021-11-08 01:19:15,1,0
221,511,4,2021-07-19,2021-07-19 17:23:35,2021-11-08 01:19:15,2,0
222,511,5,2021-07-19,2021-07-19 17:23:35,2021-11-08 01:19:15,3,0
223,511,6,2021-09-22,2021-07-19 17:23:35,2021-11-08 01:19:15,4,0
275,521,1,2021-08-03,2021-08-03 23:05:10,2021-08-03 23:05:10,1,0
276,521,2,2021-08-03,2021-08-03 23:05:10,2021-08-03 23:05:10,2,0
