id,inquiry_id,sub_service_id,parent_service,deadline,status,order_number,created_at,updated_at,time_period,completed_at
305,463,6,2,2021-06-14,1,4,2021-11-08 01:19:18,2022-08-13 06:19:30,1,
306,463,7,2,2021-06-16,1,5,2021-11-08 01:19:18,2022-08-13 06:19:30,2,
307,463,8,2,2021-06-30,1,6,2021-11-08 01:19:18,2022-08-13 06:19:30,10,
308,463,9,2,2021-07-07,1,1,2021-11-08 01:19:18,2022-08-13 06:19:30,5,
309,463,10,2,2021-07-12,1,2,2021-11-08 01:19:18,2022-08-13 06:19:31,3,
310,464,6,2,2021-06-14,1,4,2021-11-08 01:19:18,2022-08-13 06:19:31,1,
311,464,7,2,2021-06-16,1,5,2021-11-08 01:19:18,2022-08-13 06:19:31,2,
312,464,8,2,2021-06-30,1,6,2021-11-08 01:19:18,2022-08-13 06:19:31,10,
313,464,9,2,2021-07-07,1,1,2021-11-08 01:19:18,2022-08-13 06:19:31,5,
314,464,10,2,2021-07-12,1,2,2021-11-08 01:19:18,2022-08-13 06:19:31,3,
3304,617,6,2,2021-12-08,1,4,2021-12-03 09:08:59,2022-08-13 06:19:31,1,
3305,617,7,2,2021-12-10,1,5,2021-12-03 09:08:59,2022-08-13 06:19:31,2,
3306,617,8,2,2021-12-24,1,6,2021-12-03 09:08:59,2022-08-13 06:19:31,10,
3307,617,9,2,2021-12-31,1,1,2021-12-03 09:08:59,2022-08-13 06:19:31,5,
3308,617,10,2,2022-01-05,1,2,2021-12-03 09:08:59,2022-08-13 06:19:31,3,
3309,617,11,4,2022-01-07,1,3,2021-12-03 09:08:59,2022-08-13 06:19:31,2,
3310,617,12,4,2022-01-10,1,4,2021-12-03 09:08:59,2022-08-13 06:19:31,1,
3311,617,13,4,2022-01-11,1,5,2021-12-03 09:08:59,2022-08-13 06:19:31,1,
3312,617,14,4,2022-01-13,1,6,2021-12-03 09:08:59,2022-08-13 06:19:31,2,
3313,617,15,4,2022-01-14,1,1,2021-12-03 09:08:59,2022-08-13 06:19:31,1,
3314,617,16,4,2022-01-17,1,2,2021-12-03 09:08:59,2022-08-13 06:19:31,1,
3315,617,17,4,2022-01-19,1,3,2021-12-03 09:08:59,2022-08-13 06:19:31,2,
3316,617,18,4,2022-02-08,1,4,2021-12-03 09:08:59,2022-08-13 06:19:31,14,
3317,617,19,4,2022-02-15,1,1,2021-12-03 09:08:59,2022-08-13 06:19:31,5,
3318,617,20,4,2022-02-18,1,2,2021-12-03 09:08:59,2022-08-13 06:19:31,3,
3319,617,21,4,2022-02-22,1,3,2021-12-03 09:08:59,2022-08-13 06:19:31,2,
3320,617,22,4,2022-02-24,1,4,2021-12-03 09:08:59,2022-08-13 06:19:31,2,
3321,617,23,4,2022-02-25,1,1,2021-12-03 09:08:59,2022-08-13 06:19:31,1,
3322,617,24,4,2022-03-01,1,2,2021-12-03 09:08:59,2022-08-13 06:19:31,2,
3323,617,25,4,2022-03-10,1,3,2021-12-03 09:08:59,2022-08-13 06:19:31,7,
3324,617,26,4,2022-03-14,1,4,2021-12-03 09:08:59,2022-08-13 06:19:31,2,
3325,617,27,4,2022-03-21,1,5,2021-12-03 09:08:59,2022-08-13 06:19:31,5,
3326,617,28,4,2022-03-24,1,6,2021-12-03 09:08:59,2022-08-13 06:19:31,3,
3327,617,29,5,2022-04-22,1,1,2021-12-03 09:08:59,2021-12-03 09:08:59,21,
3328,617,30,5,2022-05-23,1,2,2021-12-03 09:08:59,2021-12-03 09:08:59,21,
3329,617,31,5,2022-05-24,1,3,2021-12-03 09:08:59,2021-12-03 09:08:59,1,
3330,617,32,5,2022-05-26,1,4,2021-12-03 09:08:59,2021-12-03 09:08:59,2,
3331,617,33,5,2022-05-27,1,5,2021-12-03 09:08:59,2021-12-03 09:08:59,1,
3332,617,34,6,2022-05-30,1,6,2021-12-03 09:08:59,2022-08-13 06:19:31,1,
3333,617,35,6,2022-06-02,1,1,2021-12-03 09:08:59,2022-08-13 06:19:31,3,
3334,617,36,6,2022-06-06,1,2,2021-12-03 09:08:59,2022-08-13 06:19:31,2,
3335,617,37,6,2022-06-07,1,3,2021-12-03 09:08:59,2022-08-13 06:19:31,1,
3336,617,38,6,2022-06-15,1,4,2021-12-03 09:08:59,2022-08-13 06:19:31,6,
3337,617,39,6,2022-06-16,1,1,2021-12-03 09:08:59,2022-08-13 06:19:31,1,
4185,643,1,1,2022-02-17,1,1,2022-02-14 00:17:23,2022-02-14 00:17:23,1,
4186,643,2,1,2022-02-18,1,1,2022-02-14 00:17:23,2022-08-13 06:19:31,1,
4187,643,3,1,2022-02-22,1,1,2022-02-14 00:17:23,2022-08-13 06:19:31,2,
4188,643,4,1,2022-03-02,1,1,2022-02-14 00:17:23,2022-08-13 06:19:31,6,
4189,643,5,1,2022-03-07,1,3,2022-02-14 00:17:23,2022-08-13 06:19:31,3,
4190,643,6,2,2022-03-08,1,4,2022-02-14 00:17:23,2022-08-13 06:19:31,1,
4191,643,7,2,2022-03-10,1,5,2022-02-14 00:17:23,2022-08-13 06:19:31,2,
4192,643,8,2,2022-03-24,1,6,2022-02-14 00:17:23,2022-08-13 06:19:31,10,
4193,643,9,2,2022-03-31,1,1,2022-02-14 00:17:23,2022-08-13 06:19:31,5,
4194,643,10,2,2022-04-05,1,2,2022-02-14 00:17:23,2022-08-13 06:19:31,3,
4195,643,11,4,2022-04-07,1,3,2022-02-14 00:17:23,2022-08-13 06:19:31,2,
4196,643,12,4,2022-04-08,1,4,2022-02-14 00:17:23,2022-08-13 06:19:31,1,
4197,643,13,4,2022-04-11,1,5,2022-02-14 00:17:23,2022-08-13 06:19:31,1,
4198,643,14,4,2022-04-13,1,6,2022-02-14 00:17:23,2022-08-13 06:19:31,2,
4199,643,15,4,2022-04-14,1,1,2022-02-14 00:17:23,2022-08-13 06:19:31,1,
4200,643,16,4,2022-04-15,1,2,2022-02-14 00:17:23,2022-08-13 06:19:31,1,
4201,643,17,4,2022-04-19,1,3,2022-02-14 00:17:23,2022-08-13 06:19:31,2,
4202,643,18,4,2022-05-09,1,4,2022-02-14 00:17:23,2022-08-13 06:19:31,14,
4203,643,19,4,2022-05-16,1,1,2022-02-14 00:17:23,2022-08-13 06:19:31,5,
4204,643,20,4,2022-05-19,1,2,2022-02-14 00:17:23,2022-08-13 06:19:31,3,
4205,643,21,4,2022-05-23,1,3,2022-02-14 00:17:23,2022-08-13 06:19:31,2,
4206,643,22,4,2022-05-25,1,4,2022-02-14 00:17:23,2022-08-13 06:19:31,2,
4207,643,23,4,2022-05-26,1,1,2022-02-14 00:17:23,2022-08-13 06:19:31,1,
4208,643,24,4,2022-05-30,1,2,2022-02-14 00:17:23,2022-08-13 06:19:31,2,
4209,643,25,4,2022-06-08,1,3,2022-02-14 00:17:23,2022-08-13 06:19:31,7,
4210,643,26,4,2022-06-10,1,4,2022-02-14 00:17:23,2022-08-13 06:19:31,2,
4211,643,27,4,2022-06-17,1,5,2022-02-14 00:17:23,2022-08-13 06:19:31,5,
4212,643,28,4,2022-06-22,1,6,2022-02-14 00:17:23,2022-08-13 06:19:31,3,
4213,643,29,5,2022-07-21,1,1,2022-02-14 00:17:23,2022-02-14 00:17:23,21,
4214,643,30,5,2022-08-19,1,2,2022-02-14 00:17:23,2022-02-14 00:17:23,21,
4215,643,31,5,2022-08-22,1,3,2022-02-14 00:17:23,2022-02-14 00:17:23,1,
4216,643,32,5,2022-08-24,1,4,2022-02-14 00:17:23,2022-02-14 00:17:23,2,
4217,643,33,5,2022-08-25,1,5,2022-02-14 00:17:23,2022-02-14 00:17:23,1,
4218,643,34,6,2022-08-26,1,6,2022-02-14 00:17:23,2022-08-13 06:19:31,1,
4219,643,35,6,2022-08-31,1,1,2022-02-14 00:17:23,2022-08-13 06:19:31,3,
4220,643,36,6,2022-09-02,1,2,2022-02-14 00:17:23,2022-08-13 06:19:31,2,
4221,643,37,6,2022-09-05,1,3,2022-02-14 00:17:23,2022-08-13 06:19:31,1,
4222,643,38,6,2022-09-13,1,4,2022-02-14 00:17:23,2022-08-13 06:19:31,6,
4223,643,39,6,2022-09-14,1,1,2022-02-14 00:17:23,2022-08-13 06:19:31,1,
4258,645,1,1,2022-02-22,1,1,2022-02-17 06:02:15,2022-02-17 06:02:15,1,
4259,645,2,1,2022-02-23,1,1,2022-02-17 06:02:15,2022-08-13 06:19:31,1,
4260,645,3,1,2022-02-25,1,1,2022-02-17 06:02:15,2022-08-13 06:19:31,2,
4261,645,4,1,2022-03-07,1,1,2022-02-17 06:02:15,2022-08-13 06:19:31,6,
4262,645,5,1,2022-03-10,1,3,2022-02-17 06:02:15,2022-08-13 06:19:31,3,
4263,646,11,4,2022-02-23,1,3,2022-02-17 06:06:10,2022-08-13 06:19:31,2,
4264,646,12,4,2022-02-24,1,4,2022-02-17 06:06:10,2022-08-13 06:19:31,1,
4265,646,13,4,2022-02-25,1,5,2022-02-17 06:06:10,2022-08-13 06:19:31,1,
4266,646,14,4,2022-03-01,1,6,2022-02-17 06:06:10,2022-08-13 06:19:31,2,
4267,646,15,4,2022-03-02,1,1,2022-02-17 06:06:10,2022-08-13 06:19:31,1,
4268,646,16,4,2022-03-03,1,2,2022-02-17 06:06:10,2022-08-13 06:19:31,1,
4269,646,17,4,2022-03-07,1,3,2022-02-17 06:06:10,2022-08-13 06:19:31,2,
4270,646,18,4,2022-03-25,1,4,2022-02-17 06:06:10,2022-08-13 06:19:31,14,
4271,646,19,4,2022-04-01,1,1,2022-02-17 06:06:10,2022-08-13 06:19:31,5,
4272,646,20,4,2022-04-06,1,2,2022-02-17 06:06:10,2022-08-13 06:19:31,3,
