id,inquiry_id,supplier_id,created_at,updated_at
3,451,293,2021-06-08 08:56:11,2021-06-08 08:56:11
4,457,293,2021-06-09 11:26:14,2021-06-09 11:26:14
5,458,293,2021-06-11 16:24:49,2021-06-11 16:24:49
7,458,276,2021-06-11 16:26:12,2021-06-11 16:26:12
8,457,410,2021-06-11 17:37:13,2021-06-11 17:37:13
10,457,412,2021-06-11 17:38:54,2021-06-11 17:38:54
11,457,254,2021-06-18 08:02:36,2021-06-18 08:02:36
12,433,293,2021-06-21 07:13:27,2021-06-21 07:13:27
13,467,293,2021-06-25 16:06:16,2021-06-25 16:06:16
14,466,293,2021-06-29 14:08:48,2021-06-29 14:08:48
15,494,293,,
16,495,293,,
17,496,293,,
18,497,293,,
19,498,293,,
20,499,293,,
21,500,293,,
22,501,293,,
23,502,293,,
24,503,293,,
25,504,293,,
26,507,293,,
27,454,276,2021-07-15 12:16:26,2021-07-15 12:16:26
29,454,293,2021-07-15 12:34:34,2021-07-15 12:34:34
31,508,410,2021-07-15 16:08:02,2021-07-15 16:08:02
32,509,410,,
35,458,1735,2021-07-15 20:46:44,2021-07-15 20:46:44
36,514,293,2021-07-26 08:29:50,2021-07-26 08:29:50
37,516,293,2021-07-26 10:53:27,2021-07-26 10:53:27
38,509,293,2021-07-28 17:48:39,2021-07-28 17:48:39
39,291,1731,2021-07-29 08:37:12,2021-07-29 08:37:12
40,291,1732,2021-07-29 08:37:19,2021-07-29 08:37:19
41,401,1733,2021-07-29 09:57:10,2021-07-29 09:57:10
43,504,1733,2021-07-30 08:04:55,2021-07-30 08:04:55
44,503,1733,2021-07-30 08:05:40,2021-07-30 08:05:40
45,502,1733,2021-07-30 08:09:33,2021-07-30 08:09:33
46,501,1733,2021-07-30 08:10:13,2021-07-30 08:10:13
47,500,1733,2021-07-30 08:10:53,2021-07-30 08:10:53
48,499,1733,2021-07-30 08:11:32,2021-07-30 08:11:32
49,498,1733,2021-07-30 08:12:06,2021-07-30 08:12:06
50,497,1733,2021-07-30 08:12:46,2021-07-30 08:12:46
51,496,1733,2021-07-30 08:14:16,2021-07-30 08:14:16
52,495,1733,2021-07-30 08:15:00,2021-07-30 08:15:00
53,494,1733,2021-07-30 08:15:48,2021-07-30 08:15:48
54,466,1733,2021-07-30 08:16:27,2021-07-30 08:16:27
55,401,1744,2021-07-30 15:02:58,2021-07-30 15:02:58
