id,inquiry_id,trace_id,is_consumer_record,country,region,certifications,supplier_status,delivery_method,created_at,updated_at,number_of_males,number_of_females,number_of_employees,number_of_others
1,670,1,0,,,null,1,,2022-08-26 11:42:04,2022-08-26 11:42:04,,100.0,,
2,670,2,0,India,Tirupur,null,1,,2022-08-26 11:42:04,2022-08-26 11:42:04,,100.0,,
3,670,3,0,,,null,2,,2022-08-26 11:42:04,2022-08-26 11:42:04,,100.0,,
4,670,4,0,,,null,2,,2022-08-26 11:42:04,2022-08-26 11:42:04,,100.0,,
5,670,5,0,,,null,2,,2022-08-26 11:42:04,2022-08-26 11:42:04,,100.0,,
6,670,6,0,India,Tirupur,null,1,,2022-08-26 11:42:04,2022-08-26 11:42:04,,100.0,,
7,670,7,0,India,Tirupur,null,1,,2022-08-26 11:42:04,2022-08-26 11:42:04,,100.0,,
8,670,8,0,India,Tirupur,null,1,,2022-08-26 11:42:04,2022-08-26 11:42:04,20.0,80.0,60,
9,670,9,0,,,null,,,2022-08-26 11:42:04,2022-08-26 11:42:04,,100.0,,
10,790,1,0,Sri Lanka,,null,1,,2022-08-27 11:07:43,2022-08-27 11:07:43,,100.0,,
11,790,2,0,Indonesia,,null,1,,2022-08-27 11:07:43,2022-08-27 11:07:43,,100.0,,
12,790,3,0,,,null,,,2022-08-27 11:07:43,2022-08-27 11:07:43,,100.0,,
13,790,4,0,,,null,,,2022-08-27 11:07:43,2022-08-27 11:07:43,,100.0,,
14,790,5,0,,,null,,,2022-08-27 11:07:43,2022-08-27 11:07:43,,100.0,,
15,790,6,0,,,null,,,2022-08-27 11:07:43,2022-08-27 11:07:43,,100.0,,
16,790,7,0,,,null,,,2022-08-27 11:07:43,2022-08-27 11:07:43,,100.0,,
17,790,8,0,,,null,,,2022-08-27 11:07:43,2022-08-27 11:07:43,,100.0,,
18,790,9,0,,,null,1,2,2022-08-27 11:07:43,2022-08-27 11:07:43,,100.0,,
19,458,1,0,Sri Lanka,colombo,null,1,,2022-09-02 17:35:43,2022-09-02 18:08:58,,100.0,,
20,458,2,0,Andorra,test,"[[1,true]]",,,2022-09-02 17:35:43,2022-09-02 18:08:58,,100.0,,
21,458,3,0,United Arab Emirates,,null,,,2022-09-02 17:35:43,2022-09-02 18:08:58,,100.0,,
22,458,4,0,,,null,,,2022-09-02 17:35:43,2022-09-02 18:08:58,,100.0,,
23,458,5,0,,,null,,,2022-09-02 17:35:43,2022-09-02 18:08:58,,100.0,,
24,458,6,0,,,null,,,2022-09-02 17:35:43,2022-09-02 18:08:58,,100.0,,
25,458,7,0,,,null,,,2022-09-02 17:35:43,2022-09-02 18:08:58,,100.0,,
26,458,8,0,United Arab Emirates,,"[[1,false]]",,,2022-09-02 17:35:43,2022-09-02 18:08:58,45.0,55.0,1000,
27,458,9,0,,,null,,2,2022-09-02 17:35:43,2022-09-02 18:08:58,,100.0,,
28,458,1,1,Sri Lanka,colombo,null,1,,2022-09-02 17:43:31,2022-09-02 17:43:31,,100.0,,
29,458,2,1,Andorra,test,"[[1,true]]",,,2022-09-02 17:43:31,2022-09-02 17:43:31,,100.0,,
30,458,3,1,United Arab Emirates,,null,,,2022-09-02 17:43:31,2022-09-02 17:43:31,,100.0,,
31,458,4,1,,,null,,,2022-09-02 17:43:31,2022-09-02 17:43:31,,100.0,,
32,458,5,1,,,null,,,2022-09-02 17:43:31,2022-09-02 17:43:31,,100.0,,
33,458,6,1,,,null,,,2022-09-02 17:43:31,2022-09-02 17:43:31,,100.0,,
34,458,7,1,,,null,,,2022-09-02 17:43:31,2022-09-02 17:43:31,,100.0,,
35,458,8,1,United Arab Emirates,,"[[1,false]]",,,2022-09-02 17:43:31,2022-09-02 17:43:31,45.0,55.0,1000,
36,458,9,1,,,null,,2,2022-09-02 17:43:31,2022-09-02 17:43:31,,100.0,,
37,795,1,0,Sri Lanka,West,null,1,,2022-09-07 10:26:29,2022-10-27 05:56:02,,100.0,,
38,795,2,0,United Arab Emirates,west,"[[2,true],[3,false],[4,true]]",1,,2022-09-07 10:26:29,2022-10-27 05:56:02,,100.0,,
39,795,3,0,Andorra,North,"[[2,false]]",2,,2022-09-07 10:26:29,2022-09-07 10:26:29,,100.0,,
40,795,4,0,United Arab Emirates,south,null,2,,2022-09-07 10:26:29,2022-09-07 10:26:29,,100.0,,
41,795,5,0,Afghanistan,west,"[[1,false]]",1,,2022-09-07 10:26:29,2022-10-27 05:56:02,,100.0,,
42,795,6,0,Bangladesh,south,"[[2,true],[3,false],[4,true]]",1,,2022-09-07 10:26:29,2022-09-07 10:26:29,,100.0,,
43,795,7,0,United Arab Emirates,,"[[1,false]]",1,,2022-09-07 10:26:29,2022-09-07 10:26:29,,100.0,,
44,795,8,0,Sri Lanka,western,"[[2,false],[3,false],[4,false]]",,,2022-09-07 10:26:29,2022-09-07 10:26:29,49.0,51.0,100,
45,795,9,0,,,null,1,2,2022-09-07 10:26:29,2022-09-07 10:26:29,,100.0,,
46,795,1,1,Sri Lanka,West,null,1,,2022-09-07 10:45:41,2022-10-27 05:56:48,,100.0,,
47,795,2,1,United Arab Emirates,west,"[[2,true],[3,false],[4,true]]",1,,2022-09-07 10:45:41,2022-10-27 05:56:48,,100.0,,
48,795,3,1,Andorra,North,"[[2,false]]",2,,2022-09-07 10:45:41,2022-10-27 05:56:48,,100.0,,
49,795,4,1,United Arab Emirates,south,null,2,,2022-09-07 10:45:41,2022-10-27 05:56:48,,100.0,,
50,795,5,1,Afghanistan,west,"[[1,false]]",1,,2022-09-07 10:45:41,2022-10-27 05:56:48,,100.0,,
51,795,6,1,Bangladesh,south,"[[2,true],[3,false],[4,true]]",1,,2022-09-07 10:45:41,2022-10-27 05:56:48,,100.0,,
52,795,7,1,United Arab Emirates,,"[[1,false]]",1,,2022-09-07 10:45:41,2022-10-27 05:56:48,,100.0,,
53,795,8,1,Sri Lanka,western,"[[2,false],[3,false],[4,false]]",,,2022-09-07 10:45:41,2022-10-27 05:56:48,49.0,51.0,100,
54,795,9,1,,,null,1,2,2022-09-07 10:45:41,2022-10-27 05:56:48,,100.0,,
55,806,1,0,Andorra,west,null,2,,2022-10-15 11:57:48,2022-10-15 11:57:48,,,,
56,806,2,0,United Arab Emirates,test,null,,,2022-10-15 11:57:48,2022-10-15 11:57:48,,,,
57,806,3,0,United Arab Emirates,test 2,null,2,,2022-10-15 11:57:48,2022-10-15 11:57:48,,,,
58,806,4,0,,,null,,,2022-10-15 11:57:48,2022-10-15 11:57:48,,,,
59,806,5,0,,,null,,,2022-10-15 11:57:48,2022-10-15 11:57:48,,,,
60,806,6,0,,,null,,,2022-10-15 11:57:48,2022-10-15 11:57:48,,,,
61,806,7,0,,,null,,,2022-10-15 11:57:48,2022-10-15 11:57:48,,,,
62,806,8,0,Afghanistan,,null,,,2022-10-15 11:57:48,2022-10-15 11:57:48,50.0,25.0,100,25.0
63,806,9,0,,,null,1,1,2022-10-15 11:57:48,2022-10-15 11:57:48,,,,
64,806,1,1,Andorra,west,null,2,,2022-10-15 12:02:10,2022-10-15 12:02:10,,,,
65,806,2,1,United Arab Emirates,test,null,,,2022-10-15 12:02:10,2022-10-15 12:02:10,,,,
66,806,3,1,United Arab Emirates,test 2,null,2,,2022-10-15 12:02:10,2022-10-15 12:02:10,,,,
67,806,4,1,,,null,,,2022-10-15 12:02:10,2022-10-15 12:02:10,,,,
68,806,5,1,,,null,,,2022-10-15 12:02:10,2022-10-15 12:02:10,,,,
69,806,6,1,,,null,,,2022-10-15 12:02:10,2022-10-15 12:02:10,,,,
70,806,7,1,,,null,,,2022-10-15 12:02:10,2022-10-15 12:02:10,,,,
71,806,8,1,Afghanistan,,null,,,2022-10-15 12:02:10,2022-10-15 12:02:10,50.0,25.0,100,25.0
72,806,9,1,,,null,1,1,2022-10-15 12:02:10,2022-10-15 12:02:10,,,,
73,817,1,0,United Kingdom of Great Britain and Northern Ireland,London,null,1,,2022-10-30 11:25:26,2022-10-30 11:25:26,,,,
74,817,2,0,India,Delhi,"[[1,true],[9,false],[5,true]]",1,,2022-10-30 11:25:26,2022-10-30 11:25:26,,,,
75,817,3,0,India,Delhi,"[[1,true],[5,true]]",1,,2022-10-30 11:25:26,2022-10-30 11:25:26,,,,
76,817,4,0,India,Tiruppur,"[[1,true],[9,true]]",1,,2022-10-30 11:25:26,2022-10-30 11:25:26,,,,
77,817,5,0,Sri Lanka,Gampaha,"[[1,true],[12,true]]",1,,2022-10-30 11:25:26,2022-10-30 11:25:26,,,,
