id,key,table_name,created_at,updated_at
1,browse_admin,,2021-05-31 03:16:08,2021-05-31 03:16:08
2,browse_bread,,2021-05-31 03:16:08,2021-05-31 03:16:08
3,browse_database,,2021-05-31 03:16:08,2021-05-31 03:16:08
4,browse_media,,2021-05-31 03:16:08,2021-05-31 03:16:08
5,browse_compass,,2021-05-31 03:16:08,2021-05-31 03:16:08
6,browse_menus,menus,2021-05-31 03:16:08,2021-05-31 03:16:08
7,read_menus,menus,2021-05-31 03:16:08,2021-05-31 03:16:08
8,edit_menus,menus,2021-05-31 03:16:08,2021-05-31 03:16:08
9,add_menus,menus,2021-05-31 03:16:08,2021-05-31 03:16:08
10,delete_menus,menus,2021-05-31 03:16:08,2021-05-31 03:16:08
11,browse_roles,roles,2021-05-31 03:16:08,2021-05-31 03:16:08
12,read_roles,roles,2021-05-31 03:16:08,2021-05-31 03:16:08
13,edit_roles,roles,2021-05-31 03:16:08,2021-05-31 03:16:08
14,add_roles,roles,2021-05-31 03:16:08,2021-05-31 03:16:08
15,delete_roles,roles,2021-05-31 03:16:08,2021-05-31 03:16:08
16,browse_users,users,2021-05-31 03:16:08,2021-05-31 03:16:08
17,read_users,users,2021-05-31 03:16:08,2021-05-31 03:16:08
18,edit_users,users,2021-05-31 03:16:08,2021-05-31 03:16:08
19,add_users,users,2021-05-31 03:16:08,2021-05-31 03:16:08
20,delete_users,users,2021-05-31 03:16:08,2021-05-31 03:16:08
21,browse_settings,settings,2021-05-31 03:16:08,2021-05-31 03:16:08
22,read_settings,settings,2021-05-31 03:16:08,2021-05-31 03:16:08
23,edit_settings,settings,2021-05-31 03:16:08,2021-05-31 03:16:08
24,add_settings,settings,2021-05-31 03:16:08,2021-05-31 03:16:08
25,delete_settings,settings,2021-05-31 03:16:08,2021-05-31 03:16:08
26,browse_categories,categories,2021-05-31 03:16:09,2021-05-31 03:16:09
27,read_categories,categories,2021-05-31 03:16:09,2021-05-31 03:16:09
28,edit_categories,categories,2021-05-31 03:16:09,2021-05-31 03:16:09
29,add_categories,categories,2021-05-31 03:16:09,2021-05-31 03:16:09
30,delete_categories,categories,2021-05-31 03:16:09,2021-05-31 03:16:09
31,browse_posts,posts,2021-05-31 03:16:09,2021-05-31 03:16:09
32,read_posts,posts,2021-05-31 03:16:09,2021-05-31 03:16:09
33,edit_posts,posts,2021-05-31 03:16:09,2021-05-31 03:16:09
34,add_posts,posts,2021-05-31 03:16:09,2021-05-31 03:16:09
35,delete_posts,posts,2021-05-31 03:16:09,2021-05-31 03:16:09
36,browse_pages,pages,2021-05-31 03:16:09,2021-05-31 03:16:09
37,read_pages,pages,2021-05-31 03:16:09,2021-05-31 03:16:09
38,edit_pages,pages,2021-05-31 03:16:09,2021-05-31 03:16:09
39,add_pages,pages,2021-05-31 03:16:09,2021-05-31 03:16:09
40,delete_pages,pages,2021-05-31 03:16:09,2021-05-31 03:16:09
41,browse_hooks,,2021-05-31 03:16:10,2021-05-31 03:16:10
