id,chat_id,message_id,sender_id,pinned_by,created_at,updated_at,is_for_all
6,352,983,402,1732,2021-08-03 10:00:54,2021-08-03 10:00:54,
7,352,951,402,1747,2021-08-04 11:08:45,2021-08-04 11:08:45,
10,115,830,402,402,2021-08-04 11:15:42,2021-08-04 11:15:42,
11,351,952,402,402,2021-08-04 11:24:03,2021-08-04 11:24:03,
17,445,1624,1693,1753,2021-08-18 10:52:00,2021-08-18 10:52:00,
19,413,1841,402,402,2021-08-24 13:39:23,2021-08-24 13:39:23,
23,444,2439,402,402,2021-10-01 18:28:43,2021-10-01 18:28:43,
24,444,2439,402,402,2021-10-01 18:29:01,2021-10-01 18:29:01,
25,444,2257,402,402,2021-10-01 18:29:14,2021-10-01 18:29:14,
28,435,3814,476,402,2021-11-04 11:36:01,2021-11-04 11:36:01,
29,381,3956,1743,402,2021-12-29 10:37:55,2021-12-29 10:37:55,
30,656,5725,402,1786,2022-02-08 02:09:14,2022-02-08 02:09:14,
38,670,8144,1852,402,2022-05-09 06:17:01,2022-05-09 06:17:01,
39,602,13204,1919,1653,2022-11-10 19:19:24,2022-11-10 19:19:24,0
40,602,13061,402,1653,2022-11-10 22:19:58,2022-11-10 22:19:58,0
41,602,13062,402,1653,2022-11-10 22:20:02,2022-11-10 22:20:02,0
42,602,12454,402,1653,2022-11-10 22:20:57,2022-11-10 22:20:57,0
43,670,11192,402,402,2022-11-18 03:15:43,2022-11-18 03:15:43,0
44,670,11086,402,402,2022-11-18 03:16:06,2022-11-18 03:16:06,0
45,670,11218,402,402,2022-11-18 03:16:41,2022-11-18 03:16:41,0
46,670,11695,402,402,2022-11-18 03:18:34,2022-11-18 03:18:34,0
47,349,12287,1653,1653,2022-11-24 17:50:05,2022-11-24 17:50:05,0
48,349,12300,402,1653,2022-11-24 17:50:10,2022-11-24 17:50:10,0
49,349,12280,402,1653,2022-11-24 17:50:28,2022-11-24 17:50:28,0
50,349,12276,1653,1653,2022-11-24 17:53:29,2022-11-24 17:53:29,0
51,602,8605,1919,1653,2022-11-24 17:58:03,2022-11-24 17:58:03,0
52,602,8604,1919,1653,2022-11-24 17:58:10,2022-11-24 17:58:10,0
53,602,8912,1919,1653,2022-11-24 17:58:50,2022-11-24 17:58:50,0
54,602,9159,1930,1653,2022-11-24 18:00:41,2022-11-24 18:00:41,0
55,602,9428,1919,1653,2022-11-24 18:02:17,2022-11-24 18:02:17,0
56,1315,14739,2013,2017,2022-12-13 17:11:53,2022-12-13 17:11:53,1
57,1316,14748,2013,2017,2022-12-13 17:14:16,2022-12-13 17:14:16,1
58,1325,14744,2013,2017,2022-12-13 19:05:25,2022-12-13 19:05:25,1
59,1325,14745,2013,2017,2022-12-13 19:05:32,2022-12-13 19:05:32,1
60,1322,14732,2013,2017,2022-12-13 19:19:41,2022-12-13 19:19:41,1
61,1389,15041,2017,2039,2022-12-22 11:14:46,2022-12-22 11:14:46,0
62,1277,11762,1986,1986,2022-12-28 12:05:49,2022-12-28 12:05:49,0
63,1398,15458,1993,1691,2023-01-13 14:21:54,2023-01-13 14:21:54,0
64,1398,15499,1691,1691,2023-01-13 14:23:19,2023-01-13 14:23:19,0
65,1398,15500,1691,1691,2023-01-13 14:24:41,2023-01-13 14:24:41,0
69,1398,15514,1993,1993,2023-01-14 07:53:37,2023-01-14 07:53:37,0
70,1399,15777,1996,1996,2023-01-27 18:47:20,2023-01-27 18:47:20,0
71,1399,15776,1996,1996,2023-01-27 18:48:47,2023-01-27 18:48:47,0
72,1403,15674,1996,1996,2023-01-27 18:49:55,2023-01-27 18:49:55,0
73,1403,15676,1996,1996,2023-01-27 18:50:15,2023-01-27 18:50:15,0
74,1403,15675,1996,1996,2023-01-27 18:51:11,2023-01-27 18:51:11,0
76,1398,15797,1691,1993,2023-01-27 19:59:28,2023-01-27 19:59:28,0
77,1403,15814,1993,1993,2023-01-27 20:02:42,2023-01-27 20:02:42,0
