id,name,created_at,updated_at,short_code
1,Activewear,2022-12-22 04:23:01,2022-12-22 04:23:01,active
2,Bridalwear,2022-12-22 04:23:01,2022-12-22 04:23:01,bridal
3,Casualwear,2022-12-22 04:23:01,2022-12-22 04:23:01,casual
4,Denim,2022-12-22 04:23:01,2022-12-22 04:23:01,denim
5,Eveningwear,2022-12-22 04:23:01,2022-12-22 04:23:01,evening
6,Footwear,2022-12-22 04:23:01,2022-12-22 04:23:01,foot
7,Formalwear,2022-12-22 04:23:01,2022-12-22 04:23:01,formal
8,Homewear,2022-12-22 04:23:01,2022-12-22 04:23:01,home
9,Hospitalwear,2022-12-22 04:23:01,2022-12-22 04:23:01,hospital
10,Intimates,2022-12-22 04:23:01,2022-12-22 04:23:01,intimates
11,Jewellery,2022-12-22 04:23:01,2022-12-22 04:23:01,jewelry
12,Kidswear,2022-12-22 04:23:01,2022-12-22 04:23:01,kids
13,Leather goods,2022-12-22 04:23:01,2022-12-22 04:23:01,leather
14,Leisurewear,2022-12-22 04:23:01,2022-12-22 04:23:01,leisure
15,Loungewear,2022-12-22 04:23:01,2022-12-22 04:23:01,lounge
16,Maternity wear,2022-12-22 04:23:01,2022-12-22 04:23:01,maternity
17,Outerwear,2022-12-22 04:23:01,2022-12-22 04:23:01,outer
18,Packaging,2022-12-22 04:23:01,2022-12-22 04:23:01,packaging
19,Seamless,2022-12-22 04:23:01,2022-12-22 04:23:01,seamless
20,Shapewear,2022-12-22 04:23:01,2022-12-22 04:23:01,shaper
21,Sleepwear,2022-12-22 04:23:01,2022-12-22 04:23:01,sleep
22,Socks,2022-12-22 04:23:01,2022-12-22 04:23:01,socks
23,Sweaters,2022-12-22 04:23:01,2022-12-22 04:23:01,sweaters
24,Swimwear,2022-12-22 04:23:01,2022-12-22 04:23:01,swim
25,Uniforms,2022-12-22 04:23:01,2022-12-22 04:23:01,uniforms
26,Wearable electronics,2022-12-22 04:23:01,2022-12-22 04:23:01,electronics
27,Winterwear,2022-12-22 04:23:01,2022-12-22 04:23:01,winter
28,Other,2022-12-22 04:23:01,2022-12-22 04:23:01,other
