id,inquiry_id,size,color,quantity,type,created_at,updated_at
1,164,UK 8,csdc,2,sample,2022-02-14 10:32:36,2022-02-14 10:32:36
2,164,UK 10,csdc,,sample,2022-02-14 10:32:36,2022-02-14 10:32:36
3,164,UK 12,csdc,,sample,2022-02-14 10:32:36,2022-02-14 10:32:36
4,164,UK 14,csdc,,sample,2022-02-14 10:32:36,2022-02-14 10:32:36
5,164,UK 16,csdc,,sample,2022-02-14 10:32:36,2022-02-14 10:32:36
6,164,UK 18,csdc,,sample,2022-02-14 10:32:36,2022-02-14 10:32:36
7,164,UK 8,asda,,sample,2022-02-14 10:32:36,2022-02-14 10:32:36
8,164,UK 10,asda,,sample,2022-02-14 10:32:36,2022-02-14 10:32:36
9,164,UK 12,asda,,sample,2022-02-14 10:32:36,2022-02-14 10:32:36
10,164,UK 14,asda,,sample,2022-02-14 10:32:36,2022-02-14 10:32:36
11,164,UK 16,asda,,sample,2022-02-14 10:32:36,2022-02-14 10:32:36
12,164,UK 18,asda,,sample,2022-02-14 10:32:36,2022-02-14 10:32:36
13,164,UK 8,csdc,,bulk,2022-02-14 10:32:36,2022-02-14 10:32:36
14,164,UK 10,csdc,58,bulk,2022-02-14 10:32:36,2022-02-14 10:32:36
15,164,UK 12,csdc,,bulk,2022-02-14 10:32:36,2022-02-14 10:32:36
16,164,UK 14,csdc,,bulk,2022-02-14 10:32:36,2022-02-14 10:32:36
17,164,UK 16,csdc,,bulk,2022-02-14 10:32:36,2022-02-14 10:32:36
18,164,UK 18,csdc,,bulk,2022-02-14 10:32:36,2022-02-14 10:32:36
19,164,UK 8,asda,,bulk,2022-02-14 10:32:36,2022-02-14 10:32:36
20,164,UK 10,asda,,bulk,2022-02-14 10:32:36,2022-02-14 10:32:36
21,164,UK 12,asda,,bulk,2022-02-14 10:32:36,2022-02-14 10:32:36
22,164,UK 14,asda,,bulk,2022-02-14 10:32:36,2022-02-14 10:32:36
23,164,UK 16,asda,,bulk,2022-02-14 10:32:36,2022-02-14 10:32:36
24,164,UK 18,asda,,bulk,2022-02-14 10:32:36,2022-02-14 10:32:36
41,649,4,Black,,sample,2022-02-20 06:39:21,2022-02-20 06:39:21
42,649,6,Black,1,sample,2022-02-20 06:39:21,2022-02-20 06:39:21
43,649,8,Black,1,sample,2022-02-20 06:39:21,2022-02-20 06:39:21
44,649,10,Black,1,sample,2022-02-20 06:39:21,2022-02-20 06:39:21
45,649,12,Black,1,sample,2022-02-20 06:39:21,2022-02-20 06:39:21
46,649,14,Black,1,sample,2022-02-20 06:39:21,2022-02-20 06:39:21
47,649,16,Black,,sample,2022-02-20 06:39:21,2022-02-20 06:39:21
48,649,18,Black,,sample,2022-02-20 06:39:21,2022-02-20 06:39:21
49,649,4,Black,,bulk,2022-02-20 06:39:21,2022-02-20 06:39:21
50,649,6,Black,50,bulk,2022-02-20 06:39:21,2022-02-20 06:39:21
51,649,8,Black,85,bulk,2022-02-20 06:39:21,2022-02-20 06:39:21
52,649,10,Black,85,bulk,2022-02-20 06:39:21,2022-02-20 06:39:21
53,649,12,Black,50,bulk,2022-02-20 06:39:21,2022-02-20 06:39:21
54,649,14,Black,1,bulk,2022-02-20 06:39:21,2022-02-20 06:39:21
55,649,16,Black,,bulk,2022-02-20 06:39:21,2022-02-20 06:39:21
56,649,18,Black,,bulk,2022-02-20 06:39:21,2022-02-20 06:39:21
57,650,4,Black ,,sample,2022-02-20 07:16:25,2022-02-20 07:16:25
58,650,6,Black ,1,sample,2022-02-20 07:16:25,2022-02-20 07:16:25
59,650,8,Black ,1,sample,2022-02-20 07:16:25,2022-02-20 07:16:25
60,650,10,Black ,1,sample,2022-02-20 07:16:25,2022-02-20 07:16:25
61,650,12,Black ,1,sample,2022-02-20 07:16:25,2022-02-20 07:16:25
62,650,14,Black ,1,sample,2022-02-20 07:16:25,2022-02-20 07:16:25
63,650,16,Black ,,sample,2022-02-20 07:16:25,2022-02-20 07:16:25
64,650,18,Black ,,sample,2022-02-20 07:16:25,2022-02-20 07:16:25
65,650,4,Black ,,bulk,2022-02-20 07:16:25,2022-02-20 07:16:25
66,650,6,Black ,50,bulk,2022-02-20 07:16:25,2022-02-20 07:16:25
67,650,8,Black ,85,bulk,2022-02-20 07:16:25,2022-02-20 07:16:25
68,650,10,Black ,85,bulk,2022-02-20 07:16:25,2022-02-20 07:16:25
69,650,12,Black ,50,bulk,2022-02-20 07:16:25,2022-02-20 07:16:25
70,650,14,Black ,,bulk,2022-02-20 07:16:25,2022-02-20 07:16:25
71,650,16,Black ,,bulk,2022-02-20 07:16:25,2022-02-20 07:16:25
72,650,18,Black ,,bulk,2022-02-20 07:16:25,2022-02-20 07:16:25
73,653,4,Black,,sample,2022-02-20 08:14:08,2022-02-20 08:14:08
74,653,6,Black,,sample,2022-02-20 08:14:08,2022-02-20 08:14:08
75,653,8,Black,1,sample,2022-02-20 08:14:08,2022-02-20 08:14:08
76,653,10,Black,2,sample,2022-02-20 08:14:08,2022-02-20 08:14:08
77,653,12,Black,2,sample,2022-02-20 08:14:08,2022-02-20 08:14:08
78,653,14,Black,1,sample,2022-02-20 08:14:08,2022-02-20 08:14:08
79,653,16,Black,,sample,2022-02-20 08:14:08,2022-02-20 08:14:08
80,653,18,Black,,sample,2022-02-20 08:14:08,2022-02-20 08:14:08
81,653,4,Black,,bulk,2022-02-20 08:14:08,2022-02-20 08:14:08
82,653,6,Black,10,bulk,2022-02-20 08:14:08,2022-02-20 08:14:08
83,653,8,Black,10,bulk,2022-02-20 08:14:08,2022-02-20 08:14:08
84,653,10,Black,40,bulk,2022-02-20 08:14:08,2022-02-20 08:14:08
85,653,12,Black,40,bulk,2022-02-20 08:14:08,2022-02-20 08:14:08
86,653,14,Black,,bulk,2022-02-20 08:14:08,2022-02-20 08:14:08
87,653,16,Black,,bulk,2022-02-20 08:14:08,2022-02-20 08:14:08
88,653,18,Black,,bulk,2022-02-20 08:14:08,2022-02-20 08:14:08
89,654,4,Black,,sample,2022-02-20 08:18:15,2022-02-20 08:18:15
90,654,6,Black,1,sample,2022-02-20 08:18:15,2022-02-20 08:18:15
91,654,8,Black,2,sample,2022-02-20 08:18:15,2022-02-20 08:18:15
92,654,10,Black,2,sample,2022-02-20 08:18:15,2022-02-20 08:18:15
93,654,12,Black,2,sample,2022-02-20 08:18:15,2022-02-20 08:18:15
94,654,14,Black,1,sample,2022-02-20 08:18:15,2022-02-20 08:18:15
95,654,16,Black,,sample,2022-02-20 08:18:15,2022-02-20 08:18:15
96,654,18,Black,,sample,2022-02-20 08:18:15,2022-02-20 08:18:15
97,654,4,Black,,bulk,2022-02-20 08:18:15,2022-02-20 08:18:15
98,654,6,Black,10,bulk,2022-02-20 08:18:15,2022-02-20 08:18:15
99,654,8,Black,15,bulk,2022-02-20 08:18:15,2022-02-20 08:18:15
100,654,10,Black,40,bulk,2022-02-20 08:18:15,2022-02-20 08:18:15
101,654,12,Black,40,bulk,2022-02-20 08:18:15,2022-02-20 08:18:15
102,654,14,Black,,bulk,2022-02-20 08:18:15,2022-02-20 08:18:15
103,654,16,Black,,bulk,2022-02-20 08:18:15,2022-02-20 08:18:15
104,654,18,Black,,bulk,2022-02-20 08:18:15,2022-02-20 08:18:15
