id,inquiry_id,hangtag_option,other_hangtag_dimensions,folding_method,packaging,other_packaging,created_at,updated_at
1,649,NaN,,,,,2022-02-20 06:43:09,2022-02-20 06:43:31
2,650,NaN,,,,,2022-02-20 07:19:55,2022-02-20 07:20:11
3,652,,,,,,2022-02-20 07:26:57,2022-02-20 07:26:57
4,651,,,,,,2022-02-20 07:33:47,2022-02-20 07:33:47
5,653,,,,,,2022-02-20 08:15:29,2022-02-20 08:15:29
6,654,,,,,,2022-02-20 08:19:18,2022-02-20 08:19:18
7,672,4,NA,NA,Bio Degradable,,2022-03-18 09:51:29,2022-03-18 09:51:29
8,702,1,I believe Armalith provides tags for clothing made with their material.,,Polybag packing,,2022-04-27 18:59:57,2022-04-28 14:33:49
9,736,4,,TBC,Bio Degradable,,2022-06-19 17:45:22,2022-06-19 17:45:22
10,754,2,,tbc,Bio Degradable,,2022-06-27 16:13:19,2022-06-28 17:50:48
11,757,2,,tbc,Bio Degradable,,2022-06-27 19:33:01,2022-06-27 19:33:01
12,756,2,,tbc,Bio Degradable,,2022-06-27 20:10:47,2022-06-27 20:10:47
13,755,2,,,Bio Degradable,,2022-06-27 20:26:04,2022-06-27 20:26:04
14,753,2,,TBC,Bio Degradable,,2022-06-28 18:06:08,2022-06-28 18:06:08
15,737,2,,TBC,Bio Degradable,,2022-06-28 18:22:54,2022-06-28 18:22:54
16,738,2,,tbc,Bio Degradable,,2022-06-28 22:37:19,2022-06-28 22:37:19
17,739,2,,TBC,Bio Degradable,,2022-06-28 23:07:35,2022-06-28 23:07:35
18,750,2,,,Bio Degradable,,2022-06-29 15:15:19,2022-06-29 15:15:19
19,740,2,,TBC,Bio Degradable,,2022-06-29 15:36:30,2022-06-29 15:36:30
20,751,2,,TBC,Bio Degradable,,2022-06-29 15:50:54,2022-06-29 15:50:54
21,748,2,,TBC,Bio Degradable,,2022-06-29 16:54:44,2022-06-29 16:54:44
22,747,2,,TBC,Bio Degradable,,2022-06-29 20:01:33,2022-06-29 20:01:33
23,741,2,,TBC,Bio Degradable,,2022-06-29 20:24:20,2022-06-29 20:24:20
24,742,2,,TBC,Bio Degradable,,2022-06-29 20:42:26,2022-06-29 20:42:26
25,770,4,,,Polybag packing,,2022-07-12 16:21:24,2022-07-12 16:23:27
26,734,1,,,Other,,2022-08-08 14:25:27,2022-08-08 14:25:27
27,795,1,,Packing methods testing,Box,,2022-08-31 13:58:17,2022-08-31 13:58:17
28,800,3,,the bag would be matte black with only the company logo and the website at the bottom,Polybag packing,,2022-10-10 14:34:57,2022-10-10 14:36:04
29,833,5,,NA,,,2022-11-03 06:59:34,2022-11-03 06:59:34
30,840,1,,,,,2022-12-14 14:44:07,2022-12-14 14:44:07
