id,inquiry_id,measurement_unit,measurement_chart_details,sample_additional_comments,delivery_date,bulk_additional_comments,created_at,updated_at
1,164,CM,,,2022-04-23,,2022-02-14 10:32:36,2022-02-14 10:32:36
2,649,CM,,,2022-05-01,,2022-02-20 06:38:56,2022-02-20 06:38:56
3,650,CM,,,2022-05-01,,2022-02-20 07:16:25,2022-02-20 07:16:25
4,652,CM,,,2022-05-01,,2022-02-20 07:23:18,2022-02-20 07:23:18
5,651,CM,,,2022-05-01,,2022-02-20 07:30:04,2022-02-20 07:30:04
6,653,CM,,,2022-05-01,,2022-02-20 08:14:08,2022-02-20 08:14:08
7,654,CM,,,2022-05-01,,2022-02-20 08:18:15,2022-02-20 08:18:15
8,655,CM,,,2022-05-28,,2022-03-17 20:05:51,2022-03-17 20:05:51
9,672,CM,Please see attached size chart below,,2022-05-18,,2022-03-18 08:55:35,2022-03-18 08:55:35
10,686,INCHES,,,2022-06-06,,2022-03-23 12:28:14,2022-03-23 12:28:14
11,702,INCHES,"I'd like to have people choose the pant size based on their hip size, rather than waist.  Then I'd like to have an adjustable ""belt"" in the inside of the waist that allows for a range in the waist size.  The back will be gathered (like an elastic waist) based on the tightness of the belt.  This will allow for the various hip/waist ratio that women have and make for a more comfortable fit.  The bottom should be a bit more tapered than the picture so the material doesn't get caught on the foot pegs, or maybe consider a tightening option.",,2022-08-01,,2022-04-27 18:48:48,2022-05-10 14:26:42
12,736,CM,see attached,,2022-10-01,,2022-06-19 15:15:02,2022-06-19 15:15:02
13,754,CM,"SAMPLE SIZE – MEDIUM (IN CM)

Waist: 37
Waistband height: 4.5
Length: 47
Front rise: 24
Back rise: 31
Inner leg Seam: 22
Leg Width: 33","Please delete size Small samples, it's only 2xM",2022-09-15,,2022-06-27 16:06:56,2022-06-28 17:37:17
14,757,CM,please see attached screenshot for a size M,,2022-09-15,,2022-06-27 19:06:45,2022-06-27 19:06:45
