id,inquiry_id,design_description,inspirational_styles,trims,embellishment,embellishment_other_information,care_label,label_options,main_label_option,care_label_option,other_label,additional_information,created_at,updated_at
1,649,"this iconic masterpiece created by mugler and powered by wolford features an innovative body shaping lift construction at the back, offering the most sculpting of fits. finished with solid black front and back center seams, they elegantly accentuate the natural contours of the body.
the contrast between opaque and sheer makes these tights a natural eye-catcher. the matte material feels exceptional and gives a second-skin feel.
30 den
matte sheer-opaque material
soft knitted waistband
material: 86% polyamide, 14% elastane
made in austria
style : 21w3ho0005586",https://fashion.mugler.com/products/mugler-hosiery-powered-by-wolford?variant=40528179527864,,,,I will supply labels,,,,,,2022-02-20 06:42:25,2022-02-20 06:42:25
2,650,Sheer black tights with sheer lined pattern with solid black dots forming diamonds as seen in photos,,,,,I will supply labels,,,,,,2022-02-20 07:20:20,2022-02-20 07:20:20
3,652,"Semi sheer design 
Dark brown as base colour with light brown for diamond colour",https://skims.com/products/shimmer-legging-cocoa,,,,I will supply labels,,,,,,2022-02-20 07:27:01,2022-02-20 07:27:01
4,651,Midnight blue base colour with midnight blue shimmer plastic pattern print. With shaping underwear as seen in sketch in dark navy.,,,,,I will supply labels,,,,,,2022-02-20 07:34:55,2022-02-20 07:34:55
5,653,"A perfect wireless bra option, this sheer scoop neck bralette features seamless construction and a double layered under band for light support.
* Scoop Neck Bralette, Pull Over Style, Elasticized Under Bust For Light Support, Scoop Front And Back, Slightly Sheer Seamless Construction",https://skims.com/products/hosiery-bralette-onyx,,,,I will supply labels,,,,,,2022-02-20 08:15:34,2022-02-20 08:15:34
6,654,"A perfect wireless bra option, this sheer scoop neck bralette features seamless construction and a double layered under band for light support.
* Scoop Neck Bralette, Pull Over Style, Elasticized Under Bust For Light Support, Scoop Front And Back, Slightly Sheer Seamless Construction",https://skims.com/products/hosiery-bralette-onyx,,,,I will supply labels,,,,,,2022-02-20 08:20:14,2022-02-20 08:20:14
7,672,"I attached size chart in previous section with dimensions but I am open to changing the size/ style. 

These are the planned features:

1) sleek design as luxury product with price point above 50 GBP

2) Back of the mask - Concave, deep eye holes so no pressure on the eyes and lash protection. I think memory foam used so easily moulded to face. Eye holes and nose bridge can be the same dimensions as shown in the attachments below. I would like the back of the mask to be covered in the same material (bamboo) as the front of the mask and straps, like what is shown with the SlIP Sleep Mask attachment, in other words, bamboo lining the memory foam. I think this is how SlIP must do it. Also I would like to use a fabric that lines the nose like in the first 2 attachments below as I think this assists with the light blocking aspect. 

3)I am open to design ideas about the shape of the mask but bear in mind there must be enough space for the eye holes and it must be blackout. I think the nose bridge can be the same height as shown in the attachments with dimensions. 
3) For the head strap, I am open to ideas but I'd like it to be elasticated and size- adjustable (so I think velcro is needed). I think this company does this well for their original mask - https://mantasleep.com/products/manta-sleep-mask. I'd like the strap to be covered in bamboo in the same colour as the whole mask so seemless, like Slip - https://www.slip.com/collections/sleep-masks/products/sleep-mask-contour
5) For the materials used, I am not sure what is best to use. I think the concave eyeholes are typically made from memory foam and I'd like the shell of the mask to be in bamboo, but I'm not sure which extra meterials need to be used to give it its rigidity whilst also ensuring its soft. Also, it needs to be100% blackout so I guess several layers of fabric will be needed. This company (https://ostrichpillow.com/products/eye-mask) state they use 6 layers including a foam and a breathable modal fabric. I was thinking cooling memory foam or perforated memory foam would be a good idea to ensure the mask keeps you cool.","Here are the companies I have used for inspiration:

https://ostrichpillow.com/products/eye-mask
https://mantasleep.com/products/manta-sleep-mask-pro
https://www.slip.com/collections/sleep-masks/products/sleep-mask-contour
https://lunya.co/products/washable-silk-sleep-mask
https://gravityblankets.com/collections/weighted-sleep-masks/products/copper-infused-weighted-sleep-mask

I want a sleek design like Ostritch pillow, gravity blanket or Slip's masks, but with the function of Manta's mask. 

I actually like the style of mantas sleep mask quite a lot, espcially how the strap seemlessly fits into the design of the mask, but I don't like how bulky the eye cups are.  I don't want you to be able to see the eye holes on this mask from the front of it. Gravity and lunya also incorporate the strap seemlessly into their deign but I think Lunyas mask and strap are too big, Gravity's mask is better.",NA,NA,,Chanodil need to develop,,1,1,,,2022-03-18 09:47:04,2022-03-18 09:47:04
8,686,Testing,,,,,Chanodil need to develop,,2,2,,,2022-03-23 12:29:41,2022-03-23 12:29:41
9,702,cargo pants,https://www.urbanoutfitters.com/shop/bdg-ru-slouchy-skate-jean?category=womens-bottoms&color=051&type=REGULAR&quantity=1,"Not sure about the reverse colour stitching, tho I do like how the vertical lines create a more slim appearance.",,,Chanodil need to develop,,1,1,,"Not sure about these, need more info",2022-04-27 18:59:56,2022-04-28 14:32:56
10,736,N/A,N/A,N/A,"Embroidery
Washed effect",,Chanodil need to develop,,1,3,,,2022-06-19 17:43:33,2022-06-19 17:43:33
11,754,CORE BAGGY SWEATSHORTS,,,Placement of embroidery outline detail attached,,Chanodil need to develop,,4,3,exact main label dimensions tbc,,2022-06-27 16:11:13,2022-06-28 17:49:50
12,757,Fashion Jersey Long Sleeve Top with Contrast Neck Rib Detail. Slightly cropped hem as well as cropped sleeves.,https://www.ssense.com/en-gb/women/product/marc-jacobs-heaven/gray-cotton-long-sleeve-t-shirt/9609021,N/A,NF outline embroidery detail in slightly darker thread colour than base colour on the back - bottom left,,Chanodil need to develop,,4,3,tbc,,2022-06-27 19:27:42,2022-06-27 19:27:42
13,756,Core Elasticated Sweatpants,"https://www.ssense.com/en-gb/women/product/gucci/off-white-cotton-web-lounge-pants/9421121
https://www.ssense.com/en-gb/men/product/gucci/off-white-web-lounge-pants/11090361",,below placement of NF embroidery outline,,Chanodil need to develop,,4,3,,,2022-06-27 20:10:17,2022-06-27 20:10:17
14,755,SLIGHTLY FLARED TAILORED SWEATPANTS WITH CENTER STITCH,"https://www.ssense.com/en-gb/women/product/ksubi/white-nimbus-lounge-pants/9890411
https://www.ssense.com/en-gb/women/product/theopen-product/gray-cotton-lounge-pants/10866051",NA,on screenshot attached - placement of NF outline embroidery,,Chanodil need to develop,,4,3,exact measurements of main label tbc,,2022-06-27 20:25:41,2022-06-27 20:25:41
15,753,CORE HOODIE,,,Placement of embroidery outline detail attached,,Chanodil need to develop,,4,3,exact main label dimensions tbc,,2022-06-28 18:05:34,2022-06-28 18:05:34
16,737,CORE TANK TOP WITH A SLIGHTLY SQUARE NECK,,,Placement of embroidery outline detail attached,,Chanodil need to develop,,4,3,exact main label dimensions tbc,,2022-06-28 18:21:15,2022-06-28 18:21:15
