id,inquiry_id,other_category_details,is_submitted,created_at,updated_at,terms_and_conditions
1,164,,0,2022-02-14 00:04:13,2022-02-14 00:04:13,0
2,649,Hosiery,1,2022-02-20 06:25:55,2022-02-20 06:43:10,1
3,650,Hosiery,1,2022-02-20 07:14:43,2022-02-20 07:20:02,1
4,652,,1,2022-02-20 07:21:10,2022-02-20 07:27:00,1
5,651,Hosiery,1,2022-02-20 07:28:31,2022-02-20 07:33:54,1
6,653,Hosiery bralette,1,2022-02-20 08:12:37,2022-02-20 08:15:34,1
7,654,Hosiery bralette,1,2022-02-20 08:16:51,2022-02-20 08:19:19,1
8,636,,0,2022-02-21 14:27:14,2022-02-21 14:27:14,0
9,672,,1,2022-03-17 10:49:19,2022-03-18 09:51:29,1
10,655,,0,2022-03-17 20:03:19,2022-03-17 20:03:19,0
11,686,,0,2022-03-23 12:24:04,2022-03-23 12:24:04,0
12,702,Motorbike gear,1,2022-04-27 11:56:21,2022-04-27 18:59:58,1
13,736,,1,2022-06-19 14:34:27,2022-06-24 14:26:34,1
14,757,,1,2022-06-24 09:37:06,2022-06-27 19:33:05,1
15,756,,1,2022-06-24 09:55:24,2022-06-27 20:10:58,1
16,737,,1,2022-06-25 12:52:33,2022-06-28 18:23:00,1
17,738,,1,2022-06-25 12:53:02,2022-06-28 22:37:22,1
18,758,,0,2022-06-27 15:09:27,2022-06-27 15:09:27,0
19,754,,1,2022-06-27 16:01:33,2022-06-27 20:27:13,1
20,755,,1,2022-06-27 20:13:03,2022-06-27 20:26:09,1
21,753,,1,2022-06-28 17:52:35,2022-06-28 18:06:11,1
22,739,,1,2022-06-28 22:38:19,2022-06-28 23:07:38,1
23,458,Test,0,2022-06-29 03:20:40,2022-06-29 03:20:40,0
24,750,,1,2022-06-29 15:02:37,2022-06-29 15:15:22,1
25,740,,1,2022-06-29 15:16:14,2022-06-29 15:36:32,1
26,751,,1,2022-06-29 15:38:04,2022-06-29 15:50:56,1
27,748,,1,2022-06-29 16:35:54,2022-06-29 16:54:56,1
28,747,,1,2022-06-29 16:56:51,2022-06-29 20:02:10,1
29,741,,1,2022-06-29 20:02:40,2022-06-29 20:24:22,1
30,742,,1,2022-06-29 20:25:35,2022-06-29 20:42:34,1
31,767,,0,2022-06-29 22:13:31,2022-06-29 22:13:31,0
32,770,,1,2022-07-12 15:58:00,2022-07-12 16:21:42,1
33,734,,1,2022-08-06 12:54:29,2022-08-08 14:25:27,1
34,795,,1,2022-08-31 13:18:11,2022-08-31 13:58:18,1
35,800,,1,2022-10-10 12:13:11,2022-10-10 14:36:10,1
36,833,,1,2022-11-03 06:34:44,2022-11-03 06:59:34,1
37,840,,1,2022-12-14 14:41:42,2022-12-14 14:44:07,1
